map,map_width,map_height,scenario_id,start,goal,manhattan_distance,euclidean_distance,algorithm,path_length,path_cost,visited_nodes,execution_time_ms,corridor_size,corridor_time_ms,expansions,found
den312d,65,81,42,"(27, 59)","(5, 7)",74,56.462376853972415,Dijkstra,58,64.04163056034258,3795,29.42180633544922,,,0,True
den312d,65,81,42,"(27, 59)","(5, 7)",74,56.462376853972415,BFS,75,74.0,3791,7.127046585083008,,,0,True
den312d,65,81,43,"(38, 58)","(63, 65)",32,25.96150997149434,AILS,27,28.48528137423857,65,1.2161731719970703,198.0,0.4801750183105469,0,True
den312d,65,81,43,"(38, 58)","(63, 65)",32,25.96150997149434,A*,27,28.48528137423857,71,0.8144378662109375,,,0,True
den312d,65,81,43,"(38, 58)","(63, 65)",32,25.96150997149434,Dijkstra,27,28.48528137423857,1534,12.135505676269531,,,0,True
den312d,65,81,43,"(38, 58)","(63, 65)",32,25.96150997149434,BFS,33,32.0,1540,2.636432647705078,,,0,True
den312d,65,81,44,"(5, 19)","(6, 7)",13,12.041594578792296,AILS,13,12.414213562373096,20,0.5323886871337891,87.0,0.22149085998535156,0,True
den312d,65,81,44,"(5, 19)","(6, 7)",13,12.041594578792296,A*,13,12.414213562373096,20,0.2758502960205078,,,0,True
den312d,65,81,44,"(5, 19)","(6, 7)",13,12.041594578792296,Dijkstra,13,12.414213562373096,235,1.8243789672851562,,,0,True
den312d,65,81,44,"(5, 19)","(6, 7)",13,12.041594578792296,BFS,14,13.0,235,0.3669261932373047,,,0,True
den312d,65,81,45,"(59, 38)","(3, 16)",78,60.166435825965294,AILS,63,68.62741699796949,259,3.5810470581054688,393.0,0.9593963623046875,0,True
den312d,65,81,45,"(59, 38)","(3, 16)",78,60.166435825965294,A*,62,68.04163056034258,518,6.407260894775391,,,0,True
den312d,65,81,45,"(59, 38)","(3, 16)",78,60.166435825965294,Dijkstra,62,68.04163056034258,3784,28.978586196899414,,,0,True
den312d,65,81,45,"(59, 38)","(3, 16)",78,60.166435825965294,BFS,79,78.0,3686,7.171392440795898,,,0,True
den312d,65,81,46,"(42, 5)","(53, 73)",79,68.8839603971781,AILS,71,74.55634918610401,419,9.882926940917969,460.0,1.27410888671875,1,True
den312d,65,81,46,"(42, 5)","(53, 73)",79,68.8839603971781,A*,71,74.55634918610401,584,6.609201431274414,,,0,True
den312d,65,81,46,"(42, 5)","(53, 73)",79,68.8839603971781,Dijkstra,71,74.55634918610401,3510,27.879953384399414,,,0,True
den312d,65,81,46,"(42, 5)","(53, 73)",79,68.8839603971781,BFS,80,79.0,3369,6.466388702392578,,,0,True
den312d,65,81,47,"(33, 68)","(29, 68)",4,4.0,AILS,5,4.0,5,0.20265579223632812,44.0,0.09012222290039062,0,True
den312d,65,81,47,"(33, 68)","(29, 68)",4,4.0,A*,5,4.0,5,0.10466575622558594,,,0,True
den312d,65,81,47,"(33, 68)","(29, 68)",4,4.0,Dijkstra,5,4.0,31,0.25844573974609375,,,0,True
den312d,65,81,47,"(33, 68)","(29, 68)",4,4.0,BFS,5,4.0,30,0.04100799560546875,,,0,True
den312d,65,81,48,"(27, 60)","(39, 50)",22,15.620499351813308,AILS,14,16.72792206135786,43,0.7398128509521484,114.0,0.22172927856445312,0,True
den312d,65,81,48,"(27, 60)","(39, 50)",22,15.620499351813308,A*,14,16.72792206135786,43,0.5183219909667969,,,0,True
den312d,65,81,48,"(27, 60)","(39, 50)",22,15.620499351813308,Dijkstra,14,16.72792206135786,430,3.4885406494140625,,,0,True
den312d,65,81,48,"(27, 60)","(39, 50)",22,15.620499351813308,BFS,23,22.0,647,1.051187515258789,,,0,True
den312d,65,81,49,"(3, 16)","(6, 32)",19,16.278820596099706,AILS,17,17.242640687119284,23,0.6139278411865234,117.0,0.3039836883544922,0,True
den312d,65,81,49,"(3, 16)","(6, 32)",19,16.278820596099706,A*,17,17.242640687119284,23,0.2994537353515625,,,0,True
den312d,65,81,49,"(3, 16)","(6, 32)",19,16.278820596099706,Dijkstra,17,17.242640687119284,365,2.8519630432128906,,,0,True
den312d,65,81,49,"(3, 16)","(6, 32)",19,16.278820596099706,BFS,20,19.0,378,0.6170272827148438,,,0,True
den312d,65,81,50,"(21, 37)","(2, 29)",27,20.615528128088304,AILS,22,23.48528137423857,71,1.1167526245117188,157.0,0.3719329833984375,0,True
den312d,65,81,50,"(21, 37)","(2, 29)",27,20.615528128088304,A*,22,23.48528137423857,80,0.9319782257080078,,,0,True
den312d,65,81,50,"(21, 37)","(2, 29)",27,20.615528128088304,Dijkstra,22,23.48528137423857,971,7.652759552001953,,,0,True
