grid_size,obstacle_density,pattern,trial_id,algorithm,std_time,std_expanded,std_visited,std_path_length,std_path_cost,std_success,ils_time,ils_expanded,ils_visited,ils_path_length,ils_path_cost,ils_success,ils_iterations,ails_std_time,ails_std_expanded,ails_std_visited,ails_std_path_length,ails_std_path_cost,ails_std_success,ails_std_iterations,ails_std_corridor_size,ails_pred_time,ails_pred_expanded,ails_pred_visited,ails_pred_path_length,ails_pred_path_cost,ails_pred_success,ails_grad_time,ails_grad_expanded,ails_grad_visited,ails_grad_path_length,ails_grad_path_cost,ails_grad_success,ils_time_improvement,ails_pred_time_improvement,ails_pred_vs_ils_improvement
100,0.1,maze,1,Greedy,0.006907939910888672,212,212,115,114.0,True,0.007260799407958984,212,212,115,114.0,True,1,0.006723642349243164,212,212,115,114.0,True,1,1168,0.007167339324951172,212,212,115,114.0,True,0.00722050666809082,212,212,115,114.0,True,-5.108027887071167,-3.7550907710361017,1.287187233204177
100,0.1,maze,1,Bidirectional,0.05589747428894043,4772,4921,114,113.0,True,0.012330770492553711,1005,1035,114,113.0,True,1,0.011670351028442383,924,948,114,113.0,True,1,1168,0.01264810562133789,1006,1037,114,113.0,True,0.030048847198486328,2239,2288,114,113.0,True,77.9403798661554,77.3726706220063,-2.573522303215453
100,0.1,maze,2,A*,0.054352521896362305,2184,2184,114,148.18999999999997,True,0.025815486907958984,1000,1000,114,148.18999999999997,True,1,0.019238710403442383,918,918,114,148.18999999999997,True,1,1168,0.021512746810913086,1000,1000,114,148.18999999999997,True,0.05026650428771973,1912,1912,114,148.18999999999997,True,52.503607915041826,60.41996569739133,16.667282365762205
100,0.1,maze,2,Dijkstra,0.1252892017364502,8164,8164,114,148.18999999999997,True,0.01672196388244629,1038,1038,114,148.18999999999997,True,1,0.015816450119018555,950,950,114,148.18999999999997,True,1,1168,0.016239404678344727,1040,1040,114,148.18999999999997,True,0.03863525390625,2344,2344,114,148.18999999999997,True,86.65330798609328,87.0384642465,2.8857806863709596
100,0.1,maze,2,BFS,0.06020188331604004,8164,8164,114,113.0,True,0.00735020637512207,1038,1038,114,113.0,True,1,0.00668787956237793,950,950,114,113.0,True,1,1168,0.007193565368652344,1040,1040,114,113.0,True,0.016831636428833008,2344,2344,114,113.0,True,87.79073681709274,88.0509296845607,2.131110318206883
100,0.1,maze,2,DFS,0.04207897186279297,5942,5942,580,579.0,True,0.00645136833190918,858,858,121,120.0,True,1,0.006575584411621094,739,739,154,153.0,True,1,1168,0.006509304046630859,860,860,121,120.0,True,0.011710882186889648,1471,1471,301,300.0,True,84.66842689753643,84.5307436031095,-0.8980376214937729
100,0.1,maze,2,Greedy,0.004594326019287109,212,212,115,114.0,True,0.0041882991790771484,212,212,115,114.0,True,1,0.003865480422973633,212,212,115,114.0,True,1,1168,0.004065036773681641,212,212,115,114.0,True,0.0044498443603515625,212,212,115,114.0,True,8.83757135443695,11.520498183705241,2.9430181590482154
100,0.1,maze,2,Bidirectional,0.032421112060546875,4772,4921,114,113.0,True,0.0070912837982177734,1005,1035,114,113.0,True,1,0.006593465805053711,924,948,114,113.0,True,1,1168,0.007008790969848633,1006,1037,114,113.0,True,0.016219615936279297,2239,2288,114,113.0,True,78.12757383221556,78.38201553123896,1.1632989274787346
100,0.1,maze,3,A*,0.028971433639526367,2184,2184,114,148.18999999999997,True,0.012841224670410156,1000,1000,114,148.18999999999997,True,1,0.011050939559936523,918,918,114,148.18999999999997,True,1,1168,0.013356685638427734,1000,1000,114,148.18999999999997,True,0.025333881378173828,1912,1912,114,148.18999999999997,True,55.67625396041641,53.89704974694482,-4.014110657259562
100,0.1,maze,3,Dijkstra,0.07059311866760254,8164,8164,114,148.18999999999997,True,0.008713722229003906,1038,1038,114,148.18999999999997,True,1,0.008727788925170898,950,950,114,148.18999999999997,True,1,1168,0.00882267951965332,1040,1040,114,148.18999999999997,True,0.020737409591674805,2344,2344,114,148.18999999999997,True,87.65641411872781,87.5020686347686,-1.2504104191747838
100,0.1,maze,3,BFS,0.054099082946777344,8164,8164,114,113.0,True,0.007306814193725586,1038,1038,114,113.0,True,1,0.006654977798461914,950,950,114,113.0,True,1,1168,0.007194995880126953,1040,1040,114,113.0,True,0.016581296920776367,2344,2344,114,113.0,True,86.49364500149841,86.7003367003367,1.5303292328776064
100,0.1,maze,3,DFS,0.04264473915100098,5942,5942,580,579.0,True,0.0064580440521240234,858,858,121,120.0,True,1,0.01078343391418457,739,739,154,153.0,True,1,1168,0.006557464599609375,860,860,121,120.0,True,0.011102437973022461,1471,1471,301,300.0,True,84.8561764459229,84.62303972269589,-1.5394838852586112
100,0.1,maze,3,Greedy,0.003927469253540039,212,212,115,114.0,True,0.0040738582611083984,212,212,115,114.0,True,1,0.003964662551879883,212,212,115,114.0,True,1,1168,0.004225254058837891,212,212,115,114.0,True,0.004746913909912109,212,212,115,114.0,True,-3.7273113579797243,-7.582104049049961,-3.7162755311055187
100,0.1,maze,3,Bidirectional,0.03238964080810547,4772,4921,114,113.0,True,0.007085561752319336,1005,1035,114,113.0,True,1,0.006531238555908203,924,948,114,113.0,True,1,1168,0.00688934326171875,1006,1037,114,113.0,True,0.016317129135131836,2239,2288,114,113.0,True,78.12398786915172,78.7297941877926,2.7692721827786935
100,0.1,maze,4,A*,0.03189277648925781,2184,2184,114,148.18999999999997,True,0.012532949447631836,1000,1000,114,148.18999999999997,True,1,0.011073589324951172,918,918,114,148.18999999999997,True,1,1168,0.012425422668457031,1000,1000,114,148.18999999999997,True,0.02823781967163086,1912,1912,114,148.18999999999997,True,60.70285868070091,61.0400095688057,0.8579527079726824
100,0.1,maze,4,Dijkstra,0.06820416450500488,8164,8164,114,148.18999999999997,True,0.008750200271606445,1038,1038,114,148.18999999999997,True,1,0.007941961288452148,950,950,114,148.18999999999997,True,1,1168,0.008486270904541016,1040,1040,114,148.18999999999997,True,0.019857168197631836,2344,2344,114,148.18999999999997,True,87.170577727751,87.55754730502082,3.016266586741506
100,0.1,maze,4,BFS,0.05836033821105957,8164,8164,114,113.0,True,0.00842428207397461,1038,1038,114,113.0,True,1,0.00667881965637207,950,950,114,113.0,True,1,1168,0.00717616081237793,1040,1040,114,113.0,True,0.016766786575317383,2344,2344,114,113.0,True,85.5650561113812,87.70370249324907,14.815758193241638
100,0.1,maze,4,DFS,0.04346632957458496,5942,5942,580,579.0,True,0.006488323211669922,858,858,121,120.0,True,1,0.01024007797241211,739,739,154,153.0,True,1,1168,0.011909246444702148,860,860,121,120.0,True,0.011488914489746094,1471,1471,301,300.0,True,85.07276028325225,72.60121440834618,-83.54890864995957
100,0.1,maze,4,Greedy,0.003920793533325195,212,212,115,114.0,True,0.0040740966796875,212,212,115,114.0,True,1,0.003960847854614258,212,212,115,114.0,True,1,1168,0.004118919372558594,212,212,115,114.0,True,0.004107952117919922,212,212,115,114.0,True,-3.9100030404378234,-5.053207661903314,-1.100187265917603
100,0.1,maze,4,Bidirectional,0.031915903091430664,4772,4921,114,113.0,True,0.007201194763183594,1005,1035,114,113.0,True,1,0.006598711013793945,924,948,114,113.0,True,1,1168,0.007098674774169922,1006,1037,114,113.0,True,0.015819549560546875,2239,2288,114,113.0,True,77.43697008179883,77.75818922048332,1.4236524963580983
